ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,V,I
1775248222.7528694,0.0,287.84,0.0,0.0,OFF,OFF,25.2896366,0.00279239612
1775248223.6853566,0.019,66.58,0.0,0.0,OFF,OFF,18.1041946,0.0027588571
1775248224.307495,0.019,0.02,0.0,0.0,OFF,OFF,1.03565383,0.00270495517
1775248225.237606,0.019,0.02,0.0,0.0,OFF,OFF,0.103245094,0.00280197849
1775248225.8599763,0.019,0.01,0.0,0.0,OFF,OFF,0.0232343767,0.0027708353
1775248226.7872243,0.019,0.01,0.0,0.0,OFF,OFF,0.0214544162,0.0027420877
1775248228.1182935,5.731,165.34,1.31252,1.3124,ON,ON,0.0190695599,0.0027564615
1775248229.050883,6.621,166.69,1.31244,1.3125,ON,ON,1.97183442,1.3123368
1775248229.6752653,5.123,167.29,1.31246,1.3125,ON,ON,1.9446919,1.31220269
1775248230.6082957,3.146,167.91,1.31246,1.3125,ON,ON,1.88113558,1.31290817
1775248231.224618,2.147,168.21,1.31246,1.3125,ON,ON,1.84810925,1.31214881
1775248232.153626,0.942,168.29,1.31246,1.3125,ON,ON,1.77830875,1.31296325
1775248232.779308,0.747,167.62,1.31246,1.3125,ON,ON,1.74847114,1.31219423
1775248233.710894,0.758,167.27,1.31246,1.3125,ON,ON,1.70218146,1.3128531
1775248234.334765,0.758,167.09,1.31246,1.3125,ON,ON,1.68934679,1.31278956
1775248235.2613957,0.758,166.91,1.31246,1.3125,ON,ON,1.67174959,1.31253564
1775248235.8822389,0.758,166.82,1.31246,1.3125,ON,ON,1.66607916,1.31218588
1775248236.8111002,0.758,166.76,1.31246,1.3125,ON,ON,1.65772557,1.31267226
1775248237.4327052,0.758,166.71,1.31246,1.3125,ON,ON,1.65518618,1.31266379
1775248238.3644738,0.758,166.73,1.31246,1.3125,ON,ON,1.6512394,1.31251168
1775248238.9862096,0.769,166.77,1.31246,1.3125,ON,ON,1.65160346,1.31294656
1775248239.91705,0.769,166.78,1.31246,1.3125,ON,ON,1.65450096,1.31205773
1775248240.540813,0.79,166.85,1.31246,1.3125,ON,ON,1.65581858,1.31215119
1775248241.466901,0.801,166.9,1.31246,1.3125,ON,ON,1.65894258,1.31216192
1775248242.0899749,0.812,166.96,1.31246,1.3125,ON,ON,1.66148067,1.31247342
1775248243.0194192,0.79,166.43,1.31246,1.3125,ON,ON,1.66495562,1.31271768
1775248243.6410103,0.812,163.26,1.3125,1.3125,ON,ON,1.61921811,1.31088746
1775248244.5684972,4.428,164.4,1.31246,1.3125,ON,ON,1.72299588,1.31280637
1775248245.1967385,3.526,164.96,1.31246,1.3125,ON,ON,1.71045589,1.3123033
1775248246.1232722,1.615,165.04,1.31248,1.3125,ON,ON,1.6858815,1.31262672
1775248246.747367,1.116,165.82,1.31246,1.3125,ON,ON,1.59705842,1.31215
1775248247.6762738,0.758,165.97,1.31246,1.3125,ON,ON,1.59848142,1.3127656
1775248248.29732,0.747,166.03,1.31246,1.3125,ON,ON,1.6067344,1.31292975
1775248249.2847185,0.0,167.12,1.31246,1.3125,OFF,ON,1.6144855,1.31186128
1775248249.8483396,0.0,167.35,0.01143,1.3125,OFF,ON,1.61922526,1.31216192
1775248250.7755952,0.0,167.51,0.01128,1.3125,OFF,ON,1.63520181,1.31268299
1775248251.396247,0.0,167.77,0.01122,1.3125,OFF,ON,1.64397454,1.31265903
1775248252.326703,0.0,167.91,0.01114,1.3125,OFF,ON,1.65867662,1.31231165
1775248252.9489093,0.0,168.09,0.0111,1.3125,OFF,ON,1.6639303,1.3124578
1775248253.877503,0.0,168.3,0.01103,1.3125,OFF,ON,1.67694211,1.31271768
1775248254.5032244,0.0,168.42,0.01099,1.3125,OFF,ON,1.68618453,1.31214035
1775248255.4344082,0.0,168.6,0.01093,1.3125,OFF,ON,1.6977638,1.31206369
1775248256.0514307,0.0,168.64,0.01091,1.3125,OFF,ON,1.70004213,1.31200862
1775248256.981086,0.0,168.63,0.01087,1.3125,OFF,ON,1.70281863,1.31274164
1775248257.6046207,0.0,168.64,0.01083,1.3125,OFF,ON,1.70302224,1.31289744
1775248258.538215,0.0,33.91,0.01087,1.3116,OFF,ON,1.6509136,1.31452644
1775248259.1599815,0.0,36.78,0.01066,1.3124,OFF,ON,1.57530606,1.31195474
1775248260.0899434,0.0,36.31,0.0107,1.3124,OFF,ON,1.17668974,1.31076527
1775248260.711098,0.0,30.3,0.01068,1.3124,OFF,ON,1.61098301,1.31279433
1775248261.635619,0.0,29.91,0.01064,1.3124,OFF,ON,1.59446275,1.31199789
1775248262.2608345,0.0,29.47,0.01064,1.3124,OFF,ON,1.57866347,1.31223142
1775248263.1947234,0.0,28.62,0.0106,1.3124,OFF,ON,1.54667449,1.31254399
1775248263.8151784,0.0,26.92,0.01058,1.3124,OFF,ON,1.51586783,1.31270695
1775248264.7434115,0.0,24.84,0.01055,1.3124,OFF,ON,1.36306202,1.31203616
1775248265.368767,0.0,24.04,0.01053,1.3124,OFF,ON,1.30045211,1.31275606
1775248266.2945497,0.0,23.7,0.01051,1.3124,OFF,ON,1.24217939,1.3125428
1775248266.9214685,0.0,23.39,0.01049,1.3124,OFF,ON,1.22658372,1.31253326
1775248267.84965,0.0,23.18,0.01047,1.3124,OFF,ON,1.20558238,1.31202304
1775248268.4760828,0.0,23.07,0.01047,1.3124,OFF,ON,1.19841468,1.3123703
1775248269.404672,0.0,22.98,0.01045,1.3124,OFF,ON,1.18780077,1.31264102
1775248270.0282762,0.0,22.83,0.01043,1.3124,OFF,ON,1.18454266,1.3119272
1775248270.9563346,0.0,22.81,0.01041,1.3124,OFF,ON,1.17609692,1.31224704
1775248271.585616,0.0,22.8,0.01039,1.3124,OFF,ON,1.17452657,1.31193078
1775248272.513983,0.0,22.8,0.01037,1.3124,OFF,ON,1.17454576,1.31277645
1775248273.1319797,0.0,22.81,0.01037,1.3124,OFF,ON,1.17470622,1.31202185
1775248274.06044,0.0,22.86,0.01035,1.3124,OFF,ON,1.17568243,1.31270456
1775248274.6835313,0.0,22.91,0.01032,1.3124,OFF,ON,1.17827451,1.31239307
1775248275.6156244,0.0,22.99,0.01032,1.3124,OFF,ON,1.18019938,1.31205654
1775248276.236795,0.0,23.13,0.0103,1.3124,OFF,ON,1.18741024,1.31191874
1775248277.1670876,0.0,23.3,0.01028,1.3124,OFF,ON,1.19321609,1.31256914
1775248277.789841,0.0,23.43,0.01028,1.3124,OFF,ON,1.20472002,1.31217515
1775248278.717411,0.0,23.65,0.01026,1.3124,OFF,ON,1.20987058,1.31257284
1775248279.3337097,0.0,23.87,0.01026,1.3124,OFF,ON,1.22538352,1.31219542
1775248280.261761,0.0,24.01,0.01024,1.3124,OFF,ON,1.23294055,1.31223381
1775248280.8846428,0.0,24.19,0.01022,1.3124,OFF,ON,1.23944831,1.31196785
1775248281.812105,0.0,24.32,0.01022,1.3124,OFF,ON,1.25524163,1.31240273
1775248282.4351375,0.0,24.38,0.0102,1.3124,OFF,ON,1.26108694,1.31243742
1775248283.362842,0.0,24.45,0.0102,1.3124,OFF,ON,1.26722455,1.31244099
