ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,ts,V,I
1775248177.7304428,1.93,169.2,1.31248,1.3125,ON,ON,1775248157.425643,38.8390694,0.00645412877
1775248178.349607,1.235,164.55,1.31248,1.3125,ON,ON,1775248157.8912878,34.4784241,0.00245221541
1775248179.278998,7.511,164.33,1.31252,1.3125,ON,ON,1775248158.4452868,28.0799522,0.00221384945
1775248179.9047585,5.991,166.0,1.31246,1.3125,ON,ON,1775248158.910037,20.0426407,0.00220666244
1775248180.8273764,4.515,167.27,1.31246,1.3125,ON,ON,1775248159.4653428,11.8820925,0.00220546476
1775248181.4481273,1.301,166.63,1.31248,1.3125,ON,ON,1775248159.9298332,1.7423048,0.00209286972
1775248182.3773975,1.355,167.57,1.31248,1.3125,ON,ON,1775248160.48256,0.216645017,0.00218749745
1775248183.0004091,0.769,168.1,1.31246,1.3125,ON,ON,1775248160.9488916,0.0382190906,0.00222462974
1775248183.930659,0.747,168.15,1.31246,1.3125,ON,ON,1775248161.501053,0.0236643925,0.00221265154
1775248184.612086,0.747,169.11,1.31246,1.3125,OFF,ON,1775248161.9649203,0.0212975033,0.00221265154
1775248185.4839027,0.0,169.16,0.01158,1.3125,OFF,ON,1775248162.5182712,0.0198685043,0.00218031043
1775248186.101658,0.0,169.13,0.01149,1.3125,OFF,ON,1775248162.9836352,0.0188970733,0.00222103624
1775248187.028571,0.0,169.11,0.01139,1.3125,OFF,ON,1775248163.5378733,0.0183269121,0.00221265154
1775248187.6565068,0.0,172.43,0.01135,1.3125,OFF,ON,1775248164.0009034,1.78836811,1.20548415
1775248188.58841,0.0,169.12,0.01126,1.3125,OFF,ON,1775248164.555597,1.67490709,1.31171036
1775248189.2087762,0.0,169.1,0.01122,1.3125,OFF,ON,1775248165.0202005,1.80586946,1.31197751
1775248190.1377704,0.0,169.12,0.01114,1.3125,OFF,ON,1775248165.5738888,1.85107756,1.31171751
1775248190.7625248,0.0,169.07,0.0111,1.3125,OFF,ON,1775248166.038844,1.9142133,1.31147921
1775248191.6901994,0.0,169.04,0.01105,1.3125,OFF,ON,1775248166.591631,1.75056612,1.31178224
